تاريخ,المهمة,الحالة
2025-04-17,الفجر في المسجد,غير مكتمل
2025-04-17,أذكار الصباح,غير مكتمل
2025-04-17,Cordyceps على الريق,غير مكتمل
2025-04-17,مراجعة جزء من القرآن,غير مكتمل
2025-04-17,فطور + ALCAR,غير مكتمل
2025-04-17,دورة Python (1 ساعة),غير مكتمل
2025-04-17,تدريب طباعة أو تحسين الخط,غير مكتمل
2025-04-17,صلاة الظهر في المسجد,غير مكتمل
2025-04-17,دورة SQL (30–45 دقيقة),غير مكتمل
2025-04-17,PowerShell / اختصارات (15 دقيقة),غير مكتمل
2025-04-17,غداء + Resveratrol,غير مكتمل
2025-04-17,دورة Excel + Power BI (1 ساعة),غير مكتمل
2025-04-17,صلاة العصر في المسجد,غير مكتمل
2025-04-17,التمرين حسب الجدول,غير مكتمل
2025-04-17,تغذية بعد التمرين,غير مكتمل
2025-04-17,دوش,غير مكتمل
2025-04-17,صلاة المغرب والعشاء في المسجد,غير مكتمل
2025-04-17,أذكار المساء,غير مكتمل
2025-04-17,إكمال النواقص,غير مكتمل
2025-04-17,Magnesium + عصير حبحب,غير مكتمل
2025-04-17,الوتر + ورد + أدعية,غير مكتمل
2025-04-17,فرش الأسنان وغسل الوجه,غير مكتمل
2025-04-17,قراءة سورة الملك,غير مكتمل
2025-04-18,الفجر في المسجد,غير مكتمل
2025-04-18,أذكار الصباح,غير مكتمل
2025-04-18,Cordyceps على الريق,غير مكتمل
2025-04-18,مراجعة جزء من القرآن,غير مكتمل
2025-04-18,فطور + ALCAR,غير مكتمل
2025-04-18,دورة Python (1 ساعة),غير مكتمل
2025-04-18,تدريب طباعة أو تحسين الخط,غير مكتمل
2025-04-18,صلاة الظهر في المسجد,غير مكتمل
2025-04-18,دورة SQL (30–45 دقيقة),غير مكتمل
2025-04-18,PowerShell / اختصارات (15 دقيقة),غير مكتمل
2025-04-18,غداء + Resveratrol,غير مكتمل
2025-04-18,دورة Excel + Power BI (1 ساعة),غير مكتمل
2025-04-18,صلاة العصر في المسجد,غير مكتمل
2025-04-18,التمرين حسب الجدول,غير مكتمل
2025-04-18,تغذية بعد التمرين,غير مكتمل
2025-04-18,دوش,غير مكتمل
2025-04-18,صلاة المغرب والعشاء في المسجد,غير مكتمل
2025-04-18,أذكار المساء,غير مكتمل
2025-04-18,إكمال النواقص,غير مكتمل
2025-04-18,Magnesium + عصير حبحب,غير مكتمل
2025-04-18,الوتر + ورد + أدعية,غير مكتمل
2025-04-18,فرش الأسنان وغسل الوجه,غير مكتمل
2025-04-18,قراءة سورة الملك,غير مكتمل
2025-04-19,الفجر في المسجد,غير مكتمل
2025-04-19,أذكار الصباح,غير مكتمل
2025-04-19,Cordyceps على الريق,غير مكتمل
2025-04-19,مراجعة جزء من القرآن,غير مكتمل
2025-04-19,فطور + ALCAR,غير مكتمل
2025-04-19,دورة Python (1 ساعة),غير مكتمل
2025-04-19,تدريب طباعة أو تحسين الخط,غير مكتمل
2025-04-19,صلاة الظهر في المسجد,غير مكتمل
2025-04-19,دورة SQL (30–45 دقيقة),غير مكتمل
2025-04-19,PowerShell / اختصارات (15 دقيقة),غير مكتمل
2025-04-19,غداء + Resveratrol,غير مكتمل
2025-04-19,دورة Excel + Power BI (1 ساعة),غير مكتمل
2025-04-19,صلاة العصر في المسجد,غير مكتمل
2025-04-19,التمرين حسب الجدول,غير مكتمل
2025-04-19,تغذية بعد التمرين,غير مكتمل
2025-04-19,دوش,غير مكتمل
2025-04-19,صلاة المغرب والعشاء في المسجد,غير مكتمل
2025-04-19,أذكار المساء,غير مكتمل
2025-04-19,إكمال النواقص,غير مكتمل
2025-04-19,Magnesium + عصير حبحب,غير مكتمل
2025-04-19,الوتر + ورد + أدعية,غير مكتمل
2025-04-19,فرش الأسنان وغسل الوجه,غير مكتمل
2025-04-19,قراءة سورة الملك,غير مكتمل
2025-04-23,الفجر في المسجد,غير مكتمل
2025-04-23,أذكار الصباح,غير مكتمل
2025-04-23,Cordyceps على الريق,غير مكتمل
2025-04-23,مراجعة جزء من القرآن,غير مكتمل
2025-04-23,فطور + ALCAR,غير مكتمل
2025-04-23,دورة Python (1 ساعة),غير مكتمل
2025-04-23,تدريب طباعة أو تحسين الخط,غير مكتمل
2025-04-23,صلاة الظهر في المسجد,غير مكتمل
2025-04-23,دورة SQL (30–45 دقيقة),غير مكتمل
2025-04-23,PowerShell / اختصارات (15 دقيقة),غير مكتمل
2025-04-23,غداء + Resveratrol,غير مكتمل
2025-04-23,دورة Excel + Power BI (1 ساعة),غير مكتمل
2025-04-23,صلاة العصر في المسجد,غير مكتمل
2025-04-23,التمرين حسب الجدول,غير مكتمل
2025-04-23,تغذية بعد التمرين,غير مكتمل
2025-04-23,دوش,غير مكتمل
2025-04-23,صلاة المغرب والعشاء في المسجد,غير مكتمل
2025-04-23,أذكار المساء,غير مكتمل
2025-04-23,إكمال النواقص,غير مكتمل
2025-04-23,Magnesium + عصير حبحب,غير مكتمل
2025-04-23,الوتر + ورد + أدعية,غير مكتمل
2025-04-23,فرش الأسنان وغسل الوجه,غير مكتمل
2025-04-23,قراءة سورة الملك,غير مكتمل
2025-04-24,الفجر في المسجد,غير مكتمل
2025-04-24,أذكار الصباح,غير مكتمل
2025-04-24,Cordyceps على الريق,غير مكتمل
2025-04-24,مراجعة جزء من القرآن,غير مكتمل
2025-04-24,فطور + ALCAR,غير مكتمل
2025-04-24,دورة Python (1 ساعة),غير مكتمل
2025-04-24,تدريب طباعة أو تحسين الخط,غير مكتمل
2025-04-24,صلاة الظهر في المسجد,غير مكتمل
2025-04-24,دورة SQL (30–45 دقيقة),غير مكتمل
2025-04-24,PowerShell / اختصارات (15 دقيقة),غير مكتمل
2025-04-24,غداء + Resveratrol,غير مكتمل
2025-04-24,دورة Excel + Power BI (1 ساعة),غير مكتمل
2025-04-24,صلاة العصر في المسجد,غير مكتمل
2025-04-24,التمرين حسب الجدول,غير مكتمل
2025-04-24,تغذية بعد التمرين,غير مكتمل
2025-04-24,دوش,غير مكتمل
2025-04-24,صلاة المغرب والعشاء في المسجد,غير مكتمل
2025-04-24,أذكار المساء,غير مكتمل
2025-04-24,إكمال النواقص,غير مكتمل
2025-04-24,Magnesium + عصير حبحب,غير مكتمل
2025-04-24,الوتر + ورد + أدعية,غير مكتمل
2025-04-24,فرش الأسنان وغسل الوجه,غير مكتمل
2025-04-24,قراءة سورة الملك,غير مكتمل
